Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
AllHSLFModelTests;0.0;1.0;17.0;141;0;0;2
FontPitch;7.0;0;12.0;58;0;0;0
TestDirectoryNode;6.0;1.0;11.0;141;0;0;3
ParagraphFlagsTextProp;3.0;3.0;3.0;141;0;0;3
UnicodeString;10.0;1.0;12.0;418;1;1;2
HSSFPalette;17.0;1.0;16.0;199;1;1;2
PaneRecord;20.0;4.0;9.0;177;1;1;2
SerializerVisitor;3.0;1.0;4.0;141;0;0;3
FontBasisRecord;20.0;4.0;8.0;138;1;1;2
TestHSSFCellUtil;1.0;2.0;2.0;141;0;0;3
DrawNothing;4.0;1.0;3.0;17;1;0;1
TestRevisionMarkAuthorTable;3.0;1.0;4.0;141;0;0;3
SheetPropertiesRecord;23.0;4.0;10.0;167;1;1;2
TestRangeProperties;10.0;1.0;13.0;141;0;0;3
CorruptPowerPointFileException;3.0;5.0;6.0;141;0;0;3
DataBarThreshold;5.0;2.0;6.0;30;1;0;1
EvaluationSheet;0;0;0;34;1;0;1
XDDFDataSourcesFactory;35.0;1.0;40.0;141;0;0;2
RowBlocksReader;12.0;1.0;14.0;80;0;1;1
TestPicture;14.0;1.0;16.0;141;0;0;2
PhoneFormat;7.0;2.0;1.0;42;0;0;0
StringRecord;12.0;4.0;17.0;75;1;1;2
Util;3.0;1.0;2.0;141;1;1;2
LoggingTransformer;7.0;1.0;2.0;141;0;0;3
TestXSSFCloneSheet;6.0;2.0;8.0;141;0;0;3
TestHWPFLister;3.0;1.0;2.0;141;0;0;3
MarkerStyle;3.0;0;6.0;141;0;0;3
