Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
SheetContainer;0.0;4.0;11.0;1124;0;0;3
DSFRecord;11.0;4.0;10.0;1124;0;0;3
TableRowAlign;5.0;0;2.0;1124;0;0;3
ComplexFileTable;10.0;1.0;15.0;1124;0;0;2
FormatIndex;0.0;0;1.0;1124;0;0;3
AnchorType;2.0;0;16.0;1124;0;0;2
RecordFactoryInputStream;30.0;1.0;20.0;1124;0;1;2
TestAutoFilterInfoRecord;3.0;1.0;4.0;38;0;1;1
WmfTextOut;6.0;1.0;10.0;1124;0;0;3
EmfPlusLinearGradientBrushData;24.0;1.0;18.0;1124;0;0;2
TestXSSFPivotTableName;1.0;2.0;7.0;1124;0;0;3
TestXSLFTheme;14.0;1.0;17.0;1124;0;0;2
TestRangePtg;1.0;2.0;6.0;16;0;0;0
TestXDGFVisioExtractor;6.0;1.0;7.0;1124;0;0;3
Hyphenation;16.0;2.0;6.0;1124;0;0;3
TestSeriesChartGroupIndexRecord;2.0;1.0;5.0;24;0;1;1
IStabilityClassifier;0;0;0;1124;1;0;1
PICF;34.0;2.0;3.0;1124;0;0;3
XDDFColor;14.0;1.0;23.0;1124;0;0;2
HSSFEvaluationSheet;9.0;1.0;8.0;1124;1;1;2
DrawTextParagraph;118.0;1.0;39.0;1124;0;0;2
TestVBAMacroReader;34.0;1.0;9.0;254;0;1;1
AbstractEscherOptRecord;19.0;2.0;46.0;1124;0;0;2
DatRecord;20.0;4.0;9.0;1124;0;1;1
MoveToCommand;8.0;1.0;6.0;1124;0;0;3
TestOfficeXMLException;7.0;1.0;6.0;77;0;1;1
ContinueRecord;12.0;4.0;26.0;1124;0;1;2
HSSFConditionalFormattingThreshold;8.0;1.0;10.0;1124;0;0;3
BiffViewer;195.0;1.0;178.0;1124;1;1;2
TestEscherPropertyFactory;1.0;1.0;6.0;23;0;1;1
WmfSelectClipRegion;5.0;1.0;6.0;1124;0;0;3
ReadOnlySharedStringsTable;30.0;2.0;13.0;1124;0;0;3
TestHSSFRangeCopier;2.0;2.0;5.0;14;0;1;1
DoubleList;6.0;1.0;3.0;1124;0;0;3
TestXSLFChart;15.0;1.0;36.0;1124;0;0;2
TimesheetDemo;17.0;1.0;17.0;1124;0;0;2
Finance;12.0;1.0;2.0;1124;0;0;3
Range;1.0;1.0;1.0;1124;0;1;1
XWPFTable;187.0;1.0;29.0;1124;0;0;2
