Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
RendererChangeEvent;4.0;3.0;12.0;56;0;0;0
TitleEntity;16.0;2.0;8.0;147;0;1;1
G2TextMeasurer;2.0;1.0;6.0;32;1;1;2
CenterArrangement;31.0;1.0;8.0;260;1;0;1
BoxAndWhiskerXYToolTipGeneratorTest;5.0;1.0;5.0;182;0;0;3
PieSectionLabelGenerator;0;0;0;44;1;0;1
DefaultHeatMapDatasetTest;5.0;1.0;5.0;182;0;0;3
DefaultCategoryItemRendererTest;5.0;1.0;5.0;182;0;0;3
RendererXYPackageUtils;2.0;1.0;9.0;182;0;0;3
PieURLGenerator;0;0;0;27;1;1;2
DefaultKeyedValues;43.0;1.0;16.0;366;1;1;2
BoxAndWhiskerCategoryDataset;0;0;0;170;1;1;2
StandardXYItemLabelGenerator;11.0;2.0;7.0;132;1;0;1
Size2D;14.0;1.0;33.0;114;0;0;2
StandardXYItemLabelGeneratorTest;5.0;1.0;4.0;182;0;0;3
XYURLGenerator;0;0;0;20;1;1;2
JFreeChartEntity;16.0;2.0;6.0;147;0;1;1
TimePeriodValues;53.0;2.0;9.0;463;1;1;2
XYDrawableAnnotation;16.0;3.0;13.0;178;1;1;2
ServletUtilities;31.0;1.0;6.0;319;0;1;1
CustomXYURLGenerator;22.0;1.0;4.0;141;1;0;1
XYErrorRendererTest;9.0;1.0;5.0;182;0;0;3
XYLineChartTest;5.0;1.0;12.0;182;0;0;3
AbstractRendererTest;14.0;1.0;16.0;182;0;0;2
StatisticalBarRendererTest;11.0;1.0;13.0;182;0;0;3
XYStepAreaRenderer;62.0;3.0;19.0;515;1;1;2
GradientBarPainter;31.0;1.0;9.0;296;1;1;2
DefaultKeyedValues2DDataset;0.0;3.0;3.0;10;0;0;0
StandardCategoryToolTipGeneratorTest;6.0;1.0;5.0;182;0;0;3
Quarter;35.0;2.0;7.0;397;1;1;2
GradientXYBarPainterTest;4.0;1.0;3.0;182;0;0;3
DynamicTimeSeriesCollection;90.0;5.0;14.0;815;1;0;2
HashUtils;34.0;1.0;60.0;276;0;1;2
LineUtilsTest;6.0;1.0;1.0;182;0;0;3
StrokeSample;8.0;4.0;3.0;105;1;0;1
DefaultHighLowDatasetTest;4.0;1.0;4.0;182;0;0;3
ArcDialFrame;36.0;2.0;11.0;413;1;1;2
SymbolAxisTest;3.0;1.0;3.0;182;0;0;3
XYTaskDataset;42.0;4.0;11.0;390;1;1;2
DomainInfo;0;0;0;38;1;0;1
DialFrame;0;0;0;22;1;1;2
DefaultBoxAndWhiskerCategoryDatasetTest;9.0;1.0;5.0;182;0;0;3
KeyedObjectTest;4.0;1.0;3.0;182;0;0;3
DefaultChartEditorFactory;2.0;1.0;5.0;21;1;0;1
AxisSpace;43.0;1.0;19.0;301;0;1;2
ChartEditor;0;0;0;14;1;1;2
PowerFunction2D;9.0;1.0;3.0;83;1;1;2
ComparableObjectSeriesTest;5.0;1.0;4.0;182;0;0;3
DatasetGroup;8.0;1.0;6.0;66;0;1;1
AnnotationChangeListener;0;0;0;16;1;0;1
KeyedValueDataset;0;0;0;6;1;1;2
Rotation;3.0;0;6.0;45;0;0;0
XYIntervalDataItem;12.0;2.0;4.0;99;0;0;0
DefaultValueAxisEditor;33.0;6.0;10.0;315;1;1;2
JFreeChartResources;1.0;3.0;0.0;22;1;0;1
HorizontalAlignment;11.0;1.0;12.0;87;0;1;1
DefaultMultiValueCategoryDatasetTest;8.0;1.0;3.0;182;0;0;3
DateAxisTest;25.0;1.0;21.0;182;0;0;2
LookupPaintScale;28.0;1.0;12.0;300;1;1;2
BarRendererTest;9.0;1.0;20.0;182;0;0;2
